name,role,component,layer,dtype,shape,params
model.layers.11.feed_forward.experts.22.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,11.0,BF16,"(2048, 1792)",3670016
model.layers.11.feed_forward.experts.22.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.23.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.23.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,11.0,BF16,"(2048, 1792)",3670016
model.layers.11.feed_forward.experts.23.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.24.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.24.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,11.0,BF16,"(2048, 1792)",3670016
model.layers.11.feed_forward.experts.24.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.25.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.25.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,11.0,BF16,"(2048, 1792)",3670016
model.layers.11.feed_forward.experts.25.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.26.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.26.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,11.0,BF16,"(2048, 1792)",3670016
model.layers.11.feed_forward.experts.26.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.27.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.27.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,11.0,BF16,"(2048, 1792)",3670016
model.layers.11.feed_forward.experts.27.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.28.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.28.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,11.0,BF16,"(2048, 1792)",3670016
model.layers.11.feed_forward.experts.28.w3.weight,model.layers.N.feed_forward.experts.N.w3.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.29.w1.weight,model.layers.N.feed_forward.experts.N.w1.weight,language model,11.0,BF16,"(1792, 2048)",3670016
model.layers.11.feed_forward.experts.29.w2.weight,model.layers.N.feed_forward.experts.N.w2.weight,language model,11.0,BF16,"(2048, 1792)",3670016
